customer_id,gender,region,plan_type,tenure_months,total_usage,support_tickets,last_login_days,churn
46,Female,East,Premium,51,619.8407441827004,0,51,1
47,Male,East,Basic,7,7776.924013545132,2,40,0
48,Male,South,Standard,59,9056.1653803461,1,36,0
49,Male,East,Premium,59,7664.821144854819,1,18,0
50,Female,East,Basic,45,8270.986907036566,3,57,0
51,Female,West,Basic,41,5996.654610524635,1,39,0
52,Female,North,Basic,30,8888.688745356056,1,41,0
53,Female,North,Basic,59,5017.364475342765,2,57,0
54,Male,West,Standard,18,9884.393923025902,1,54,0
55,Female,North,Premium,30,1123.808923417544,1,23,0
56,Female,East,Basic,7,8110.8889963437,3,35,0
57,Female,West,Premium,52,6449.755218511626,3,54,0
58,Male,West,Premium,48,5848.396075389832,2,58,0
59,Male,South,Premium,23,7285.524255525102,1,3,0
60,Female,North,Standard,37,8418.886154908603,0,24,0
61,Female,South,Standard,7,8642.552261721048,2,30,0
62,Female,East,Basic,38,1836.2715331454517,1,20,0
63,Female,West,Premium,29,2050.6557045543955,2,29,0
64,Male,East,Standard,34,260.0484441846113,3,4,1
65,Female,North,Standard,39,1405.2403321435004,6,3,1
66,Female,South,Standard,53,2712.4366792142537,0,31,0
67,Female,North,Basic,41,7238.2546432478,1,4,0
68,Male,East,Standard,45,4810.09833912485,2,48,1
69,Male,South,Premium,59,7603.245002281772,1,15,0
70,Female,North,Standard,49,4916.704893416918,1,26,0
71,Female,East,Standard,49,5600.414783808687,5,11,0
72,Female,North,Basic,47,1199.5592072764666,1,0,0
73,Female,West,Premium,18,7787.927018292722,3,56,0
74,Female,South,Standard,56,7605.452668775593,2,1,0
75,Male,South,Premium,47,3144.859757638134,2,7,0
76,Male,South,Premium,43,3352.922970223979,1,42,0
77,Male,West,Standard,25,2274.846360674041,2,33,1
78,Female,South,Basic,27,8157.012792757911,0,44,0
79,Male,West,Premium,27,7495.367339421626,0,24,0
80,Male,South,Standard,12,6130.562608024102,2,33,0
81,Male,North,Premium,23,2464.3388209840045,2,45,1
82,Female,North,Premium,17,1801.347992876068,2,47,0
83,Female,North,Premium,44,597.6616266286698,2,0,0
84,Male,North,Standard,7,551.5536696073428,0,13,0
85,Female,West,Premium,24,1952.6477841024373,2,31,0
86,Male,East,Premium,7,1095.272069999899,2,28,0
87,Male,East,Basic,29,5605.465961932186,1,47,1
88,Male,North,Standard,53,3645.0922651653223,2,55,1
89,Male,East,Standard,28,4504.963243464648,3,18,0
90,Female,East,Premium,23,5981.265117513179,5,29,0
91,Female,South,Basic,10,6625.107278999785,5,22,0
92,Female,West,Premium,16,6517.197026837523,3,4,1
93,Female,North,Premium,43,2682.480209526241,1,22,0
94,Male,East,Standard,48,8115.307500931416,2,55,0
95,Female,East,Basic,34,9185.325732200376,1,34,0
96,Male,North,Premium,25,3227.789637509633,3,52,0
97,Female,South,Standard,2,268.9476240040729,1,52,0
98,Female,North,Premium,50,9001.6264478202,2,6,0
99,Female,South,Premium,5,9243.132456239411,0,30,0
100,Male,East,Basic,14,604.369760089032,3,13,0
101,Male,West,Basic,31,149.07025940620144,1,26,1
102,Male,South,Basic,40,8182.407351628148,1,49,0
103,Male,South,Premium,6,3084.4872093827557,1,39,0
104,Female,North,Basic,28,9154.363456230289,1,22,1
105,Male,East,Standard,9,2245.761375368512,1,43,0
106,Male,West,Premium,6,8625.430699653212,3,25,0
107,Female,North,Basic,53,779.5782702778631,3,6,0
108,Female,North,Premium,17,2680.304788408339,3,20,0
109,Male,West,Premium,40,9733.975903541846,1,23,0
110,Female,East,Standard,35,2388.846877879695,0,16,0
111,Male,West,Standard,12,1416.8285423429072,4,59,0
112,Female,North,Standard,45,8584.841059482653,1,54,0
113,Male,North,Premium,18,1266.2278384386427,4,42,1
114,Male,South,Premium,55,1064.815474937085,2,8,0
115,Male,West,Standard,43,3301.9088284764043,1,55,0
116,Male,West,Premium,34,6389.752215309899,4,14,0
117,Male,West,Standard,46,7136.389100409087,4,46,1
118,Female,North,Standard,1,8824.263959891217,4,3,0
119,Male,East,Basic,59,5455.02410699515,4,23,0
120,Male,North,Standard,15,3994.836088933656,1,30,1
121,Male,South,Basic,18,3652.454242161205,1,11,0
122,Male,North,Standard,22,8484.337011926991,4,43,1
123,Male,North,Premium,18,7265.771563878388,1,7,1
124,Female,North,Basic,49,9063.747235878878,1,16,0
125,Female,South,Premium,1,9643.95101174298,1,48,0
126,Male,West,Premium,46,3070.5032772296936,1,42,0
127,Female,East,Standard,20,5343.773775138311,4,8,1
128,Male,East,Standard,56,6355.025992911846,2,16,1
129,Female,South,Premium,54,1722.1045730869298,2,57,0
130,Female,West,Standard,48,628.1356358573489,0,15,0
131,Male,West,Standard,36,8690.862749741604,6,50,1
132,Female,South,Standard,54,5401.682756478194,2,34,0
133,Female,North,Premium,38,5750.664741964389,3,51,0
134,Male,West,Basic,25,5593.652019736753,2,12,1
135,Male,East,Basic,16,7574.110977843635,2,11,0
136,Female,South,Premium,20,1540.469252352228,3,50,0
137,Female,East,Standard,38,6179.079563638174,4,29,0
138,Female,North,Standard,47,4747.847164618538,1,2,0
139,Male,South,Basic,58,8979.88577912647,2,4,1
140,Female,East,Premium,33,5244.247285173621,1,36,0
141,Female,East,Premium,7,9435.05624333424,2,55,1
142,Female,North,Standard,23,3597.204642381076,1,12,0
143,Male,South,Standard,11,9672.257593260909,3,54,0
144,Male,West,Standard,33,8764.0636861085,3,12,0
145,Male,West,Premium,40,5884.206568380011,2,27,0
146,Male,East,Basic,46,3601.728339858343,3,56,0
147,Female,North,Premium,5,3821.641238780343,2,46,0
148,Male,East,Premium,45,7750.245655937088,2,43,0
149,Female,North,Premium,47,5848.250376573541,1,4,1
150,Female,West,Basic,41,4075.7170961462775,3,19,0
151,Female,East,Standard,8,6396.944117980427,1,27,0
152,Female,East,Standard,51,7359.010639219349,3,35,0
153,Male,North,Premium,17,326.71507432881265,0,44,0
154,Male,South,Premium,51,989.64173106335,3,47,0
155,Male,North,Basic,18,1035.405860030084,4,17,0
156,Male,South,Basic,50,2396.144672107014,1,56,0
157,Male,West,Standard,27,4327.205348350408,0,22,0
158,Female,East,Premium,31,8056.134002996289,1,26,0
159,Male,East,Basic,4,3575.8804464956183,3,1,0
160,Male,North,Basic,2,273.0301049679872,4,41,0
161,Male,North,Premium,56,4885.282344222117,2,39,0
162,Male,West,Premium,5,9966.623094703757,0,49,1
163,Female,West,Premium,17,3555.307856983699,4,30,0
164,Female,South,Premium,54,9616.419735796417,3,17,0
165,Female,West,Premium,39,1103.316798250584,2,51,0
166,Female,West,Premium,32,1813.6866132625173,3,47,0
167,Female,West,Basic,29,7268.808494442512,1,46,0
168,Male,West,Premium,16,5062.003244809992,1,22,0
169,Female,South,Standard,1,7674.705854312272,1,15,0
170,Female,West,Premium,12,8649.22761578601,2,25,1
171,Female,South,Standard,19,2585.740273004242,3,24,0
172,Male,North,Standard,9,6860.008787353445,2,36,0
173,Male,East,Standard,48,6115.252242674185,2,34,0
174,Female,North,Premium,7,8629.196789002099,3,46,0
175,Male,West,Premium,30,4358.028616037838,3,21,1
176,Male,East,Standard,15,613.517264035534,3,8,0
177,Female,West,Premium,44,5784.442659997868,4,33,0
178,Male,West,Basic,4,9592.895359272732,1,44,0
179,Male,North,Basic,6,244.8486771017118,1,22,0
180,Male,West,Basic,38,2478.5540853823004,2,41,1
181,Female,North,Basic,47,3229.071120644788,1,26,0
182,Female,West,Premium,35,7681.804990120658,0,9,0
183,Female,South,Standard,2,3300.4415324348024,0,15,0
184,Male,East,Premium,5,2466.930245643508,3,3,0
185,Female,North,Basic,8,6520.7243432237065,0,53,1
186,Male,North,Premium,51,559.4123607138961,1,30,0
187,Male,East,Premium,53,1788.908913591595,2,3,0
188,Male,North,Basic,30,4139.4992638274925,2,46,0
189,Female,East,Standard,48,3620.439627166308,2,49,0
190,Female,South,Premium,19,3536.941609915296,2,52,0
191,Female,West,Premium,30,1174.6946298846517,1,13,0
192,Female,South,Basic,55,3672.316192552986,1,15,0
193,Male,West,Standard,31,8000.128442714887,5,46,1
194,Female,East,Basic,16,4197.057597794213,2,18,0
195,Male,South,Basic,38,5903.094729675281,2,57,0
196,Female,West,Premium,22,1719.436152241443,4,2,0
197,Female,East,Standard,33,790.1424983389034,2,41,1
198,Female,West,Basic,50,8811.56481512245,0,45,1
199,Male,North,Premium,22,3380.588701844992,1,2,0
200,Male,North,Basic,8,3568.3386073745137,1,49,0
201,Male,East,Premium,37,8789.109709840699,1,19,0
202,Male,West,Standard,12,7106.936354196565,0,54,0
203,Male,North,Basic,50,7587.000838777368,3,1,1
204,Female,South,Standard,5,6851.83449325986,2,19,1
205,Male,West,Standard,25,1147.34322343621,2,52,0
206,Male,West,Premium,54,9584.158628456657,2,25,0
207,Male,North,Basic,29,9100.449242566485,3,18,0
208,Male,North,Basic,13,2438.579255631399,1,52,0
209,Female,East,Premium,53,8059.542492324029,6,59,1
210,Male,West,Premium,26,4153.024671823468,2,52,0
211,Female,South,Standard,22,6869.292981858382,2,49,0
212,Female,North,Basic,29,1739.4696981510167,0,32,1
213,Female,West,Basic,12,5431.687081498566,3,46,0
214,Male,North,Premium,48,1353.50136564307,1,33,0
215,Female,East,Premium,46,5408.054937045347,2,27,0
216,Male,West,Premium,43,2511.5801649664068,2,47,0
217,Male,West,Basic,28,4579.418634811265,1,52,0
218,Male,East,Basic,9,6712.896735026865,1,55,1
219,Male,South,Standard,55,8783.038358440126,4,48,0
220,Male,North,Premium,10,1736.3611305442528,4,13,0
221,Female,East,Standard,48,8943.364242635213,5,53,0
222,Female,West,Basic,51,3961.372714480173,5,13,0
223,Male,East,Standard,42,8453.58602919822,0,50,0
224,Female,West,Standard,26,5174.224392335854,2,28,0
225,Male,East,Standard,53,8635.864860453104,1,52,0
226,Female,South,Premium,36,6661.9582684499765,2,25,1
227,Female,West,Basic,59,5136.289792106006,3,58,0
228,Female,East,Premium,53,3194.132466703255,2,32,0
229,Female,South,Standard,40,9692.199967424687,4,4,0
230,Female,South,Premium,11,8028.886810897536,1,41,0
231,Male,North,Basic,6,3873.7531332053873,1,1,1
232,Male,West,Basic,4,1750.5635712845558,1,8,0
233,Female,North,Standard,53,7817.400644073608,4,18,0
234,Male,South,Standard,27,9900.448449328109,2,26,0
235,Female,North,Premium,55,2861.852042545473,2,57,1
236,Male,North,Basic,24,9167.044416116458,4,58,0
237,Female,East,Basic,5,1341.1699853204098,3,26,0
238,Female,North,Premium,50,9526.841917093356,1,25,0
239,Female,South,Basic,54,7478.855233186327,0,36,0
240,Male,North,Standard,57,3531.3026697106643,3,36,1
241,Male,West,Standard,3,3115.855040732715,1,13,0
242,Female,East,Premium,7,6470.010003999578,4,2,0
243,Female,South,Premium,24,5975.72068856113,0,57,0
244,Male,North,Premium,22,9197.473344787497,3,20,0
245,Male,West,Standard,12,7685.807028671221,2,45,0
246,Male,South,Premium,35,5449.612238481876,3,36,1
247,Male,North,Basic,17,9282.90183421258,1,39,0
248,Male,East,Premium,3,5968.033250198866,3,7,0
249,Female,North,Basic,11,8511.879873040705,2,5,0
250,Male,South,Standard,6,8425.332255768777,2,1,0
251,Female,South,Basic,43,9200.02910360041,1,56,0
252,Female,South,Basic,36,769.2601096631354,1,5,0
253,Male,West,Basic,17,5879.8147126731,2,54,1
254,Male,North,Standard,22,4737.086652593386,0,58,0
255,Female,North,Basic,1,4956.369596300257,1,38,0
256,Male,North,Basic,44,4653.114975840008,1,10,1
257,Female,East,Premium,56,8390.920225281176,2,4,1
258,Male,West,Premium,3,3252.485684427694,3,9,0
259,Male,West,Premium,16,4681.235708134806,1,51,1
260,Male,East,Basic,35,2086.757174720748,1,46,0
261,Female,West,Basic,14,2591.9944976548736,1,38,0
262,Male,East,Standard,49,6638.158825104363,2,37,0
263,Female,South,Basic,51,1257.6657886815533,2,6,0
264,Male,South,Basic,7,1959.4359288473051,1,35,0
265,Female,West,Standard,26,5327.542139756009,5,46,1
266,Male,South,Basic,56,533.3529768338338,2,17,0
267,Female,South,Standard,43,1356.5772942618762,2,9,0
268,Female,South,Standard,48,8647.194095770814,4,56,0
269,Female,North,Premium,31,8476.852981370457,1,6,0
270,Female,South,Basic,24,3542.983439965124,4,35,1
271,Female,North,Premium,19,3545.114021580726,0,30,0
272,Female,East,Basic,37,9371.502947713636,4,49,0
273,Male,East,Premium,1,355.82727681303004,2,7,0
274,Female,East,Standard,25,5844.925579544181,1,39,0
275,Female,East,Standard,56,6014.1667325032,3,9,1
276,Female,East,Standard,10,7900.081965098446,1,39,0
277,Male,South,Standard,18,9522.330106643749,1,50,0
278,Male,South,Basic,42,3622.693111729105,1,27,1
279,Male,South,Basic,1,4434.551387214412,0,25,0
280,Female,East,Premium,29,6745.854957149756,2,19,0
281,Male,East,Basic,13,9675.989061207349,2,1,0
282,Male,North,Basic,4,8918.844301993404,0,45,0
283,Female,West,Premium,57,6703.824732373441,2,22,1
284,Female,South,Standard,12,8581.563359543119,0,59,0
285,Male,West,Premium,56,943.5238658252188,4,22,0
286,Female,East,Premium,48,3833.5567342333416,3,16,0
287,Female,East,Standard,19,229.61570741858716,2,40,0
288,Female,East,Premium,26,1856.9751587834087,2,56,1
289,Female,West,Premium,44,6341.87645490378,1,20,0
290,Male,North,Premium,38,8867.060074963301,2,38,0
291,Female,East,Basic,16,6364.525068918775,0,25,1
292,Male,North,Standard,44,6674.96725938481,1,30,0
293,Male,North,Standard,25,1127.8338920363983,1,7,1
294,Male,South,Premium,58,6682.11886004246,2,50,0
295,Male,West,Basic,56,4598.032501954991,2,6,0
296,Female,East,Standard,10,6549.258292660052,2,20,0
297,Female,North,Standard,37,3329.1137843452907,5,51,1
298,Female,West,Premium,28,5856.710822465384,0,57,1
299,Male,West,Premium,28,4298.286038626795,3,49,0
300,Male,East,Premium,25,5630.506848807102,1,22,1
301,Male,South,Standard,25,1556.18623146502,1,12,0
302,Female,South,Premium,51,4018.6660508111217,0,54,0
303,Male,North,Premium,12,3805.358706842855,2,41,0
304,Female,South,Premium,8,7390.305754462802,0,41,0
305,Female,South,Basic,36,7093.454188283848,4,27,0
306,Female,South,Premium,58,9097.700978840196,1,39,0
307,Female,West,Standard,39,6357.350363603656,2,26,0
308,Male,East,Premium,58,3214.016584955386,4,31,1
309,Female,West,Standard,24,7853.92416602978,2,19,0
310,Male,West,Basic,23,5020.276670982901,1,12,0
311,Female,East,Basic,37,2015.5827852278776,2,41,0
312,Male,West,Premium,11,7499.373536438552,0,1,0
313,Male,North,Standard,17,1412.060817620367,0,42,0
314,Female,North,Premium,28,1863.717979336679,3,18,0
315,Female,West,Premium,56,7611.683691507958,1,48,1
316,Female,South,Standard,53,7724.432471305751,1,14,1
317,Male,West,Standard,3,7928.734561161731,3,26,1
318,Female,South,Standard,2,3003.918731729445,1,11,1
319,Female,West,Standard,51,8679.215827978036,2,53,0
320,Male,North,Standard,29,7254.414546024521,0,39,0
321,Female,South,Basic,57,8356.277354558271,2,9,1
322,Male,North,Basic,34,7115.194298994211,3,59,0
323,Female,West,Basic,14,5838.004941588772,2,59,1
324,Male,East,Standard,58,1183.0082385827914,1,27,1
325,Male,South,Standard,33,7138.268498324297,4,55,0
326,Female,South,Standard,48,6935.561677036022,1,3,1
327,Male,West,Premium,47,3193.662219539918,1,3,0
328,Female,West,Basic,18,7384.615713559619,4,27,0
329,Female,South,Basic,29,5549.500078970143,1,41,1
330,Male,East,Premium,2,5638.121761579809,1,43,0
331,Female,West,Premium,11,3739.286319978554,1,28,0
332,Male,West,Basic,31,1256.171909267352,0,11,1
333,Male,West,Standard,53,2247.591732873291,3,48,0
334,Male,East,Basic,49,7711.433368026976,0,21,0
335,Male,South,Standard,13,2787.2713499192496,3,3,1
336,Male,North,Basic,44,122.305237922554,1,24,1
337,Male,West,Basic,26,9970.472469202346,4,49,0
338,Male,East,Premium,56,2185.7541151186715,2,7,0
339,Male,South,Premium,34,6588.293173816899,0,28,0
340,Female,South,Standard,54,9276.527845292438,0,6,1
341,Female,East,Standard,53,6037.156072875977,0,7,0
342,Male,West,Basic,50,8010.403089336128,2,17,1
343,Female,North,Premium,10,9766.079950273268,2,25,1
344,Female,West,Standard,12,8617.597916704879,0,59,0
345,Female,South,Standard,49,5623.250477915781,0,8,0
346,Female,North,Standard,22,3700.6590117725536,3,35,0
347,Female,West,Basic,46,4876.3980467232,3,30,0
348,Female,North,Standard,54,8434.07906508639,2,48,0
349,Male,East,Standard,31,8548.21064049134,3,5,1
350,Female,West,Premium,19,8473.9637313478,1,35,0
351,Female,South,Premium,45,6012.521587225108,3,14,1
352,Female,South,Premium,24,4821.863585800368,3,17,0
353,Female,North,Basic,25,3182.2467553470515,1,48,0
354,Male,East,Premium,35,133.27246630110008,4,53,0
355,Male,West,Premium,57,7668.404181523463,0,39,0
356,Male,East,Premium,8,2842.2829721391413,3,50,0
357,Male,East,Premium,5,3363.8111643148404,1,43,0
358,Female,North,Standard,22,8450.464125985734,2,9,0
359,Male,North,Basic,28,617.2864555139442,2,7,0
360,Male,West,Standard,12,9283.441281428642,3,24,0
361,Male,South,Standard,33,113.4830321412135,2,33,0
362,Male,West,Basic,53,9397.77423677152,2,35,0
363,Female,East,Standard,58,4602.109061725822,3,5,0
364,Male,North,Premium,16,1111.013989003014,1,22,0
365,Female,East,Basic,26,6774.197535687755,2,47,0
366,Male,North,Standard,12,8968.978614640097,2,35,0
367,Female,South,Standard,23,4436.920886791438,0,19,0
368,Female,East,Premium,49,6944.443249903597,3,22,0
369,Male,North,Standard,26,9795.69092987401,1,54,1
370,Male,West,Standard,41,2482.93815475875,1,22,0
371,Male,West,Standard,13,8222.449623534612,1,52,0
372,Male,West,Basic,23,3022.8473825370484,2,35,1
373,Female,East,Basic,31,4320.742239902584,4,45,0
374,Female,North,Standard,36,2889.4820981228822,5,44,1
375,Male,North,Standard,27,4515.516309497812,1,21,0
376,Male,North,Premium,36,150.3814210399969,1,22,0
377,Female,East,Basic,59,3104.044588569688,1,41,0
378,Male,North,Basic,47,4508.411232983188,3,8,0
379,Female,South,Basic,42,6359.17781869035,4,28,0
380,Male,East,Standard,23,6409.877772641497,2,20,0
381,Female,South,Premium,38,5879.477622857879,1,37,1
382,Female,South,Premium,3,3001.0151129637397,3,36,0
383,Female,West,Standard,30,9479.30272776388,1,36,0
384,Female,East,Standard,57,3980.5012550368833,1,29,0
385,Female,North,Premium,32,2247.250018266672,3,2,0
386,Male,South,Premium,15,5589.678102713075,1,32,0
387,Female,East,Basic,38,7514.393831821044,4,49,0
388,Male,North,Standard,11,221.1123709404356,0,47,0
389,Female,West,Basic,2,2835.80567321592,3,38,0
390,Female,East,Premium,26,8267.280740740296,3,42,0
391,Male,East,Basic,34,5119.508824517422,0,15,1
392,Male,East,Premium,1,4144.034215341149,4,27,0
393,Male,North,Premium,11,9315.922667864888,2,19,0
394,Male,South,Basic,5,986.397461516103,4,42,0
395,Female,South,Standard,26,6194.144987700706,4,9,0
396,Male,East,Basic,6,3487.668290813392,0,50,0
397,Female,East,Basic,35,801.1516430999646,3,27,0
398,Male,North,Standard,52,2216.07063524712,1,44,0
399,Male,West,Standard,5,6316.538808871115,3,35,0
400,Female,East,Basic,52,379.9416451601185,4,7,0
401,Female,East,Premium,9,5963.263272354574,0,38,0
402,Male,West,Basic,28,9572.819170051313,2,23,1
403,Female,East,Premium,19,7971.451017465666,3,0,1
404,Female,South,Standard,5,3521.411085405072,1,16,0
405,Female,East,Standard,23,1468.2556989799225,0,59,0
406,Female,South,Premium,44,4704.137895738488,3,19,1
407,Female,North,Basic,44,3990.2093181662135,1,12,0
408,Female,North,Standard,16,9720.156304236134,3,12,0
409,Female,South,Premium,7,9899.693739633378,3,40,0
410,Female,South,Premium,14,4164.788097605533,1,30,1
411,Male,West,Basic,22,1572.9614369463743,0,21,0
412,Female,South,Premium,9,9115.034541464762,2,14,1
413,Male,South,Premium,47,7956.068529103234,4,14,1
414,Female,East,Basic,23,5161.614645891405,2,33,0
415,Female,West,Standard,43,3717.010965849899,3,46,0
416,Female,South,Standard,4,4536.841693237302,1,35,0
417,Female,South,Standard,43,9028.623635520593,1,31,0
418,Male,South,Premium,26,1927.9701328590309,1,12,0
419,Male,East,Premium,41,8087.156859122362,1,19,0
420,Female,East,Basic,6,280.08726498883834,1,24,0
421,Male,East,Premium,31,9213.662732106644,2,52,0
422,Female,North,Premium,17,5052.943068497437,3,21,0
423,Female,East,Standard,9,2344.803480777605,4,2,1
424,Male,South,Premium,27,128.2793778901059,3,40,0
425,Male,East,Premium,55,5639.510040573265,2,51,0
426,Female,East,Premium,6,2520.429918542397,4,28,0
427,Female,West,Basic,6,6349.516926507349,0,40,0
428,Male,South,Premium,4,2883.575886375268,1,3,0
429,Female,East,Basic,52,971.4378889832462,2,17,0
430,Male,North,Standard,43,5100.011135451237,3,53,0
431,Female,West,Premium,3,5688.4087892526295,3,39,0
432,Female,East,Basic,24,4580.641252841552,1,20,0
433,Male,West,Standard,56,4634.551987864836,2,30,0
434,Male,West,Premium,18,5937.5362662101525,2,33,0
435,Male,North,Basic,32,5310.899743160519,3,16,0
436,Female,North,Basic,48,1412.4186347403156,0,52,1
437,Female,North,Standard,21,2051.1479002018204,0,51,1
438,Female,South,Premium,48,1503.731310147596,3,25,0
439,Female,West,Premium,29,6963.626263975484,3,24,0
440,Male,East,Premium,32,5333.124280452964,3,3,1
441,Female,North,Basic,25,4355.565722956189,2,59,0
442,Female,North,Premium,12,8003.556053201209,3,38,0
443,Female,West,Basic,46,3325.3671316319706,2,59,0
444,Male,West,Basic,9,5724.255964600514,1,27,0
445,Female,West,Standard,7,836.6352547529644,2,37,0
446,Female,East,Basic,14,7469.600429868607,1,1,1
447,Male,South,Standard,20,6982.40520367434,1,51,1
448,Female,South,Standard,20,8043.558330039132,5,2,0
449,Female,North,Premium,10,8856.311984363881,0,28,0
450,Male,South,Standard,11,7604.479846224644,2,27,0
451,Female,East,Premium,39,8460.449912260208,2,59,0
452,Female,South,Standard,19,3521.9805297210733,0,37,0
453,Female,East,Basic,19,3499.039883947903,1,26,0
454,Male,North,Premium,53,9448.57811700818,3,6,0
455,Female,West,Basic,43,9154.287909629427,2,20,0
456,Female,East,Premium,6,5530.123676941703,2,37,0
457,Male,West,Basic,8,3728.931974199194,0,13,0
458,Male,North,Standard,1,8673.415149562123,2,51,0
459,Female,East,Premium,23,3301.770211030925,2,43,0
460,Female,East,Premium,40,1620.9873206549994,0,22,1
461,Female,South,Premium,37,6430.977482554252,2,51,1
462,Female,East,Standard,10,521.9559163563724,1,34,0
463,Male,North,Basic,2,3853.108871048231,3,29,0
464,Female,West,Standard,36,8095.871775376758,2,28,0
465,Male,East,Standard,54,3022.640337359064,0,8,0
466,Male,North,Standard,57,9320.02324282798,2,44,0
467,Female,North,Basic,2,9562.66419950471,1,50,0
468,Female,East,Standard,15,8176.581377574677,4,22,1
469,Male,South,Premium,20,9877.66885802142,2,4,0
470,Male,East,Standard,42,5354.564703963233,2,13,0
471,Female,East,Basic,21,5735.0755661758185,3,14,0
472,Male,South,Premium,30,8378.051471177736,5,14,0
473,Female,North,Basic,56,4978.772032302095,0,59,0
474,Female,East,Standard,24,4126.5280676473885,2,34,0
475,Male,South,Basic,2,6186.060552627936,2,10,0
476,Male,West,Premium,38,6610.829157403931,1,28,0
477,Female,West,Basic,22,7533.868634792047,0,36,1
478,Male,South,Premium,29,6715.186902874845,4,7,0
479,Female,North,Premium,14,7482.645773106952,1,49,0
480,Female,South,Standard,5,6778.140741798648,2,20,1
481,Female,North,Standard,24,4856.407861151771,6,14,0
482,Male,West,Premium,26,1435.852384931056,0,44,0
483,Female,East,Basic,2,7875.887966459059,0,11,0
484,Female,South,Premium,46,404.7135987380623,0,32,0
485,Female,West,Standard,45,9925.75090843726,3,46,0
486,Female,East,Basic,34,8301.73905040283,2,38,0
487,Female,West,Premium,23,6742.015019014919,4,7,0
488,Female,South,Standard,41,9669.407041359089,0,23,0
489,Female,South,Premium,35,6163.455786416472,3,31,0
490,Female,East,Premium,15,658.6855193690457,0,6,1
491,Female,South,Premium,55,5637.8835227437485,4,24,0
492,Female,West,Basic,3,2844.321438003734,1,48,0
493,Female,East,Standard,12,3757.827527045924,1,36,0
494,Male,East,Standard,38,4649.893042915286,2,45,0
495,Female,West,Premium,51,7768.547389248957,4,16,0
496,Female,North,Premium,17,5078.999222272466,2,30,0
497,Female,East,Premium,38,4799.33487916828,2,9,1
498,Male,North,Basic,27,3089.524163644276,5,54,0
499,Female,West,Standard,19,5444.73519434176,3,42,0
500,Male,West,Premium,49,2559.0694589096247,1,49,0
501,Female,East,Standard,48,2683.838772541457,2,49,0
502,Female,South,Premium,21,7596.861873930752,5,55,0
503,Male,East,Standard,40,3491.2179186399912,3,7,0
504,Female,South,Premium,24,608.8567620972074,0,0,0
505,Male,North,Basic,24,3502.40513036031,1,8,0
506,Male,South,Premium,19,6421.864857879527,3,41,0
507,Female,East,Premium,31,8158.457308105491,5,47,0
508,Female,South,Premium,40,9623.173145784378,5,25,0
509,Female,West,Premium,20,7487.582172602261,0,9,0
510,Female,North,Premium,15,4345.630933226685,1,25,0
511,Male,West,Standard,40,3061.2808641290803,4,57,1
512,Male,West,Standard,35,1383.3369026918049,2,44,0
